DAY POSITION    X        Y

 1    L       0.76    1.12
 1    M       3.29    3.49
 1    U       8.89    9.11
 2    L       0.76    0.99
 2    M       3.29    3.53
 2    U       8.89    8.89
 3    L       0.76    1.05
 3    M       3.29    3.46
 3    U       8.89    9.02
 4    L       0.76    0.76
 4    M       3.29    3.75
 4    U       8.89    9.30
 5    L       0.76    0.96
 5    M       3.29    3.53
 5    U       8.89    9.05
 6    L       0.76    1.03
 6    M       3.29    3.52
 6    U       8.89    9.02
